name,description,category,date,location,image_path,thumbnail_path
"水杉","水杉 @ 三水森林公园 <br> Shot on Sony A7C with Sigma 28-70 f/2.8 DG DN | Contemporary, 70mm, ISO100, f/2.8, 1/1000s","Landscape","2024 年 01 月","佛山","/gallery/2024/DSC00514.jpg","/gallery/2024/DSC00514_thumbs.jpg"
"舞狮","舞狮 @ 佛山南风古灶 <br> Shot on Sony A7C with Sigma 85mm f/1.4 DG DN | Art | Art, 85mm, ISO100, f/2.8, 1/1600s","City Walk","2024 年 02 月","佛山","/gallery/2024/DSC01015.jpg","/gallery/2024/DSC01015_thumbs.jpg"
"反嘴鹬","反嘴鹬 @ 深圳湾公园 <br> Shot on Sony A7C with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO100, f/6.3, 1/1000s","Wildlife","2024 年 02 月","深圳","/gallery/2024/DSC01311.jpg","/gallery/2024/DSC01311_thumbs.jpg"
"早有蜻蜓立上头","小荷才露尖尖角，早有蜻蜓立上头 @ 太原晋阳湖公园 <br> Shot on Sony A7C with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO160, f/6.3, 1/500s","Wildlife","2024 年 06 月","太原","/gallery/2024/DSC02255.jpg","/gallery/2024/DSC02255_thumbs.jpg"
"碛口古镇","碛口古镇 <br> Shot on Sony A7C with TAMRON 50-400mm f/4.5-6.3 , 135mm, ISO100, f/5.6, 1/160s","Landscape","2024 年 06 月","碛口","/gallery/2024/DSC02559.jpg","/gallery/2024/DSC02559_thumbs.jpg"
"碛口古镇","碛口古镇 <br> Shot on Sony A7C with TAMRON 50-400mm f/4.5-6.3 , 300mm, ISO125, f/6.3, 1/320s","Landscape","2024 年 06 月","碛口","/gallery/2024/DSC02708.jpg","/gallery/2024/DSC02708_thumbs.jpg"
"王家大院","王家大院 <br> Shot on Sony A7C with Sigma 28-70 f/2.8 DG DN | Contemporary, 50mm, ISO100, f/5.6, 1/1000s","Landscape","2024 年 06 月","晋中","/gallery/2024/DSC02836-HDR.jpg","/gallery/2024/DSC02836-HDR_thumbs.jpg"
"白塔寺公园","白塔寺公园 @ 兰州 <br> Shot on Sony A7C with TAMRON 50-400mm f/4.5-6.3 , 50mm, ISO100, f/5.6, 1/320s","City Walk","2024 年 10 月","兰州","/gallery/2024/DSC03846.jpg","/gallery/2024/DSC03846_thumbs.jpg"
"白塔寺公园","白塔寺公园 @ 兰州 <br> Shot on Sony A7C with TAMRON 50-400mm f/4.5-6.3 , 93mm, ISO100, f/5.6, 1/250s","City Walk","2024 年 10 月","兰州","/gallery/2024/DSC03927.jpg","/gallery/2024/DSC03927_thumbs.jpg"
"中山桥","白塔寺公园 · 中山桥 @ 兰州 <br> Shot on Sony A7C with TAMRON 50-400mm f/4.5-6.3 , 82mm, ISO100, f/5.6, 1/640s","City Walk","2024 年 10 月","兰州","/gallery/2024/DSC03941-HDR.jpg","/gallery/2024/DSC03941-HDR_thumbs.jpg"
"兰州","中山桥 @ 兰州 <br> Shot on Sony A7C with TAMRON 50-400mm f/4.5-6.3 , 75mm, ISO100, f/5.0, 1/1000s","City Walk","2024 年 10 月","兰州","/gallery/2024/DSC04170-HDR.jpg","/gallery/2024/DSC04170-HDR_thumbs.jpg"
"水墨丹霞","水墨丹霞 @ 兰州 <br> Shot on Sony A7C with TAMRON 50-400mm f/4.5-6.3 , 70mm, ISO100, f/6.3, 1/1250s","Landscape","2024 年 10 月","兰州","/gallery/2024/DSC04303-HDR 全景图.jpg","/gallery/2024/DSC04303-HDR 全景图_thumbs.jpg"
"水墨丹霞","水墨丹霞 @ 兰州 <br> Shot on Sony A7C with TAMRON 50-400mm f/4.5-6.3 , 117mm, ISO100, f/6.3, 1/640s","Landscape","2024 年 10 月","兰州","/gallery/2024/DSC04378.jpg","/gallery/2024/DSC04378_thumbs.jpg"
"兰州中山桥","兰州中山桥夜景 @ 兰州 <br> Shot on Sony A7C with Sigma 28-70 f/2.8 DG DN | Contemporary, 33mm, ISO100, f/8.0, 3.2s","City Walk","2024 年 10 月","兰州","/gallery/2024/DSC04853.jpg","/gallery/2024/DSC04853_thumbs.jpg"
"马踏飞燕","马踏飞燕 @ 甘肃省博物馆 <br> Shot on Sony A7C with Sigma 28-70 f/2.8 DG DN | Contemporary, 70mm, ISO1000, f/2.8, 1/20s","Art & Culture","2024 年 10 月","兰州","/gallery/2024/DSC04891.jpg","/gallery/2024/DSC04891_thumbs.jpg"
"鲁慕迅《鱼在云间行》","鲁慕迅《鱼在云间行》 @ 深圳市美术馆 <br> Shot on Sony A7C with Sigma 28-70 f/2.8 DG DN | Contemporary, 28mm, ISO500, f/4.0, 1/30s","Art & Culture","2024 年 03 月","深圳","/gallery/2024/DSC01517.jpg","/gallery/2024/DSC01517_thumbs.jpg"
